bowler,DotBall
"Harbhajan Singh",1244
"SL Malinga",1144
"B Kumar",1116
"A Mishra",1108
"PP Chawla",1100
"P Kumar",1075
"R Ashwin",1067
"SP Narine",1038
"DW Steyn",996
"UT Yadav",942
"Z Khan",873
"IK Pathan",835
"DJ Bravo",825
"I Sharma",814
"RA Jadeja",814
"SR Watson",803
"A Nehra",798
"R Vinay Kumar",763
"RP Singh",744
"DS Kulkarni",729
"M Morkel",708
"PP Ojha",667
"Sandeep Sharma",649
"JJ Bumrah",648
"JA Morkel",646
"YS Chahal",639
"MM Sharma",636
"AB Dinda",627
"JH Kallis",601
"M Muralitharan",600
"MM Patel",590
"AR Patel",560
"L Balaji",537
"MG Johnson",535
"MJ McClenaghan",507
"JD Unadkat",506
"CH Morris",496
"SK Trivedi",492
"Shakib Al Hasan",455
"Rashid Khan",443
"R Bhatia",436
"SK Warne",426
"S Nadeem",414
"Imran Tahir",406
"JP Faulkner",399
"S Sreesanth",399
"YK Pathan",393
"M Kartik",382
"KV Sharma",380
"B Lee",374
"A Kumble",374
"RJ Harris",364
"VR Aaron",362
"AD Russell",362
"Mohammed Shami",356
"MS Gony",348
"SB Jakati",337
"R Sharma",334
"Iqbal Abdulla",331
"DL Chahar",328
"TG Southee",328
"KA Pollard",327
"S Kaul",308
"KH Pandya",300
"PJ Sangwan",298
"P Awana",293
"S Aravind",290
"TA Boult",290
"HV Patel",288
"HH Pandya",287
"DP Nannes",285
"SK Raina",280
"MC Henriques",277
"DL Vettori",270
"DT Christian",268
"SN Thakur",263
"Yuvraj Singh",258
"AB Agarkar",254
"J Botha",254
"DE Bollinger",254
"NM Coulter-Nile",247
"Kuldeep Yadav",246
"WD Parnell",241
"P Negi",237
"JP Duminy",234
"MA Starc",232
"NLTC Perera",227
"AD Mathews",224
"IC Pandey",212
"BA Stokes",207
"J Archer",207
"S Gopal",205
"A Singh",204
"PV Tambe",204
"Mohammed Siraj",200
"SW Tait",200
"STR Binny",199
"Azhar Mahmood",199
"Mustafizur Rahman",197
"A Symonds",190
"Harmeet Singh",189
"KK Cooper",184
"AJ Tye",182
"CH Gayle",180
"BW Hilfenhaus",173
"DR Smith",168
"BB Sran",168
"RR Powar",166
"MF Maharoof",165
"AS Rajpoot",161
"GB Hogg",159
"K Rabada",156
"GD McGrath",153
"R Dhawan",151
"RE van der Merwe",148
"P Krishna",148
"RD Chahar",139
"Anureet Singh",139
"Ankit Sharma",138
"N Saini",136
"Bipul Sharma",131
"CR Woakes",131
"M Ashwin",131
"SM Pollock",130
"R Rampaul",130
"Washington Sundar",128
"WPUJC Vaas",128
"GJ Maxwell",127
"AC Thomas",126
"M Ur Rahman",126
"AD Mascarenhas",124
"KW Richardson",124
"Sohail Tanvir",121
"K Gowtham",121
"VY Mahesh",120
"AN Ahmed",120
"PJ Cummins",118
"R McLaren",116
"VRV Singh",114
"MR Marsh",112
"Mohammad Nabi",111
"Pankaj Singh",111
"Basil Thampi",109
"S Badree",109
"R Tewatia",109
"LR Shukla",109
"JR Hopes",105
"SJ Srivastava",103
"A Chandila",103
"AG Murtaza",101
"AA Chavan",100
"CRD Fernando",99
"M Ntini",99
"MP Stoinis",93
"S Tyagi",93
"BA Bhatt",93
"M Markande",91
"A Mithun",90
"J Yadav",89
"M Ali",89
"K Ahmed",89
"RG Sharma",88
"YA Abdulla",88
"DJ Hussey",86
"VS Malik",84
"ST Jayasuriya",83
"SB Styris",83
"J Suchith",81
"JO Holder",80
"CJ Anderson",79
"MN Samuels",79
"JDP Oram",79
"TM Dilshan",79
"JD Ryder",79
"A Ashish Reddy",79
"D Wiese",79
"S Sharma",79
"BCJ Cutting",77
"BAW Mendis",76
"SC Ganguly",75
"BJ Hodge",75
"SE Bond",75
"S Lamichhane",75
"CR Brathwaite",74
"L Ngidi",74
"SMSM Senanayake",73
"DJG Sammy",72
"Joginder Sharma",71
"V Pratap Singh",71
"A Zampa",70
"FH Edwards",70
"AM Nayar",69
"CK Langeveldt",69
"S Kaushik",68
"KP Appanna",68
"J Theron",68
"I Sodhi",65
"B Stanlake",64
"Mohammad Asif",64
"P Parameswaran",64
"Karanveer Singh",64
"DP Vijaykumar",63
"Kamran Khan",63
"KC Cariappa",61
"Avesh Khan",61
"CJ Jordan",61
"RS Bopara",61
"S Mavi",61
"B Akhil",60
"S Randiv",60
"Parvez Rasool",60
"DJ Hooda",59
"Y Venugopal Rao",59
"C de Grandhomme",58
"S Curran",58
"Shahid Afridi",57
"T Thushara",57
"AM Salvi",57
"Anand Rajan",57
"SB Bangar",55
"KP Pietersen",54
"V Kohli",52
"BE Hendricks",52
"K Paul",52
"Umar Gul",51
"J Behrendorff",51
"AB McDonald",50
"H Gurney",50
"S Ladda",48
"JE Taylor",48
"J Syed Mohammad",47
"SB Wagh",45
"KMDN Kulasekara",45
"V Sehwag",44
"PC Valthaty",44
"DJ Muthuswami",44
"TL Suman",43
"H Viljoen",43
"A Choudhary",42
"B Laughlin",42
"TS Mills",41
"LH Ferguson",40
"AL Menaria",40
"RR Raje",39
"Jaskaran Singh",39
"JEC Franklin",39
"M de Lange",39
"L Plunkett",39
"R Shukla",38
"Ankit Soni",37
"S Narwal",37
"RV Gomez",37
"Shivam Sharma",37
"M Santner",37
"P Suyal",36
"N Rana",34
"Shoaib Ahmed",33
"SM Harwood",33
"AF Milne",32
"JW Hastings",31
"R Sathish",30
"P Amarnath",29
"JJ van der Wath",29
"S Warrier",29
"KJ Abbott",28
"L Ferguson",28
"AA Jhunjhunwala",27
"Gurkeerat Singh",26
"T Shamsi",26
"Gagandeep Singh",25
"K Khejroliya",25
"T Natarajan",24
"WA Mota",24
"DNT Zoysa",24
"PD Collingwood",24
"ND Doshi",24
"P Sahu",24
"Shoaib Akhtar",23
"V Shankar",23
"A Joseph",23
"Mohammad Hafeez",22
"RN ten Doeschate",22
"MJ Clarke",22
"RJ Peterson",21
"A Flintoff",20
"KAJ Roach",20
"AP Dole",20
"K Upadhyay",20
"K Goel",19
"DJ Thornely",19
"D Willey",19
"SB Joshi",18
"D du Preez",18
"TP Sudhindra",18
"R Parag",18
"S Dhawan",17
"GH Vihari",17
"S Kuggeleijn",17
"O Thomas",17
"Y Nagar",16
"KM Asif",16
"B Geeves",15
"Shoaib Malik",15
"JM Kemp",15
"AC Voges",15
"M Manhas",15
"K Santokie",15
"T Curran",15
"T Henderson",14
"CJ McKay",14
"LJ Wright",14
"JDS Neesham",14
"SM Boland",14
"NB Singh",13
"D Salunkhe",13
"C Nanda",13
"AJ Finch",13
"Harmeet Singh (2)",12
"PM Sarvesh Kumar",11
"BMAJ Mendis",11
"Swapnil Singh",10
"D Kalyankrishna",10
"L Ablish",10
"NL McCullum",10
"DAJ Bracewell",10
"SD Chitnis",9
"MK Tiwary",9
"AUK Pathan",9
"NJ Rimmington",9
"GS Sandhu",9
"GR Napier",8
"A Uniyal",8
"CL White",8
"R Ninan",8
"M Vijay",8
"R Salam",8
"V Chakravarthy",8
"P Raj",8
"TM Head",7
"SS Agarwal",7
"MJ Henry",7
"A Nel",7
"D Short",7
"J Searles",7
"J Dala",7
"S Rutherford",7
"H Brar",7
"Tejas Baroka",6
"AA Noffke",6
"VS Yeligati",6
"AS Raut",6
"Mashrafe Mortaza",6
"SA Abbott",6
"A Dananjaya",6
"MA Khote",5
"S Vidyut",5
"Abdur Razzak",5
"RR Bose",5
"S Rana",5
"MG Neser",5
"C Munro",5
"Sachin Baby",5
"M Wood",5
"DB Ravi Teja",4
"SR Tendulkar",4
"LA Carseldine",4
"SS Sarkar",4
"MB Parmar",4
"SS Mundhe",4
"DJ Harris",4
"RG More",4
"A Roy",4
"P Prasanth",3
"Y Gnaneswara Rao",3
"S Dube",3
"S Midhun",3
"L Livingstone",3
"AM Rahane",2
"RS Gavaskar",2
"S Sriram",2
"AA Kazi",2
"SA Yadav",2
"LMP Simmons",2
"KS Williamson",2
"M Lomror",2
"P R Barman",2
"RA Shaikh",1
"C Ganapathy",1
"FY Fazal",1
"B Chipli",1
"RW Price",1
"BJ Rohrer",1
"AC Gilchrist",1
"Mandeep Singh",1
